"id_rekordi","emri_plote","datelindja_raw","gjinia","nid","adresa","telefoni","email","data_regjistrimit","flamuri_anomalise"
"REK-0001","Besa HOXHA","17-Janar--1176","FEMËR","17011760291","Rr. Dëshmorët e Kombit 32, BURREL","+355 68 784 4653","bhoxha@abcom.al","01.06.2022","ASNJË"
"REK-0002","Manjola OSMANI","17.01.-1176","MASHKULL","170117-93363","Rr. Dëshmorët e Kombit 57, SHKODËR","066.226.4008","manjolao43@live.com","Mars 23, 2024","ASNJË"
"REK-0003","fatmir brahimi","-2202-09-22","MASHKULL","57031533610","28 Nëntori, nr 20 ap 14 - Tiranë (1001)","067 5772627","fatmir.brahimi@hotmail.com","1 Korrik 2025","NID_DATË_MOSPËRPUTHJE"
"REK-0004","teuta shehu","10/12/26","Mashkull","52121078257","SHESHI ALI DEMI 14, 8501 Kukës","00355681614546","shehu.teuta@hotmail.com","11 Shkurt 2023","ASNJË"
"REK-0005","ARBEN Bektashi","December 28, -2598","F","59122801197","Lagja. Kavajës no.80 apt.31, Elbasan","+355 66 183 5145","abektashi@gmail.com","May 31, 2024","ASNJË"
"REK-0006","Dritan Bytyqi","Prill 12, -4540","mashkull","54041240604","BULEVARDI LIDHJA E PRIZRENIT 36, 4501 Lezhë","(066) 417 7741","bytyqi.dritan@outlook.com","9 Nëntor 2024","ASNJË"
"REK-0007","Naim HASANI","20-Tetor--3821","Female","82102002651","SHESHI BARRIKADAVE 49, 7001 Korçë","+355 69 919 6068","nhasani@gmail.com","Dhjetor 25, 2020","ASNJË"
"REK-0008","rozafa bytyqi","February 11, 0227","FEMËR","270211-76401","LAGJA IBRAHIM RUGOVA 135, 2501 Kavajë","+355 67 802 4729","rbytyqi@hotmail.com","20250528","ASNJË"
"REK-0009","Bledar OSMANI","26.05.-205","Female","05052622201","Rr. Muhamet Gjollesha 81, LEZHË","+355 68 401 3735","bledar.osmani@hotmail.com","Gusht 17, 2021","ASNJË"
"REK-0010","ismet bytyqi","08-22--565","Mashkull","650822-44423","Bulevardi Ali Demi, 143/6, Elbasan","069 9536156","ISMET.BYTYQI@gmail.com","2025-02-15","ASNJË"
"REK-0011","KASTRIOT HALILI","24/12/0424","femer","24122439998","Rr. Barrikadave 84, KRUJË","069 5013739","khalili@hotmail.com","April 5, 2025","ASNJË"
"REK-0012","Dorina HASANI","September 26, -2220","femer","22092688627","Lagja Nënë Tereza Nr. 38, Ap. 16, Lezhë 4501","00355694165588","DORINA.HASANI@gov.al","17/05/2024","ASNJË"
"REK-0013","Rozafa Hyseni","-889-11-09","Female","891109-69162","Rr. Ibrahim Rugova 108, TIRANË","066.190.7024","rozafa.hyseni@yahoo.com","24.7.2025","ASNJË"
"REK-0014","ENTELA BAJRAMI","06/04/-3011","femer","01040664495","Barrikadave, nr 88 ap 28 - Laç (4601)","068.713.0712","bajrami.entela@yahoo.com","2024-08-05","ASNJË"
"REK-0015","teuta XHAFERI","Shtator 5, -2130","F","13090561259","Rruga. Myslym Shyri no.129 apt.19, Berat","068-182-2758","teutax19@gov.al","March 25, 2024","ASNJË"
"REK-0016","Dashamir Shehu","20 Qershor -3317","m","310620-28084","L. 15, Rr. Myslym Shyri, Nd. 48, Korçë","066 3441914","dashamir_shehu@gmail.com","23-Gusht-2024","ASNJË"
"REK-0017","Visar ISLAMI","06-13--277","FEMËR","77061314178","Sami Frashëri, nr 80 ap 9 - Durrës (2001)","+355 66 614 4802","islami.visar@outlook.com","24-Gusht-2025","ASNJË"
"REK-0018","AFËRDITA BAJRAMI","09-14--2166","F","160914-98630","Sheshi. Kavajës no.104 apt.12, Sarandë","066.622.9283","abajrami@outlook.com","18 Nëntor 2023","ASNJË"
"REK-0019","SHKELQIM Gashi","15/04/47","m","04041504853","Bulevardi Skënderbeu Nr. 2, Ap. 46, Laç 4601","068-139-2559","sgashi@abcom.al","2023-03-15","ASNJË"
"REK-0020","qëndresa bytyqi","21.12.-4073","Femër","07122160062","Sheshi Dëshmorët e Kombit Nr. 117, Ap. 29, Laç 4601","067.402.6248","qendresab24@live.com","24/02/2024","ASNJË"
"REK-0021","Gëzim Bytyqi","11/03/03","F","90031102641","Rruga Ali Demi Nr. 55, Ap. 48, Kamëz 1051","00355673712357","gezimb57@live.com","4 Nëntor 2023","ASNJË"
"REK-0022","drita GASHI","30 Mars 0029","M","29033086786","Rr. Ali Demi 75, KUKËS","069 8689217","dritag47@live.com","07.03.2022","ASNJË"
"REK-0023","PRANVERA KASTRATI","03-03--2867","M","86030392569","L. 12, Rr. Ismail Qemali, Nd. 15, Shkodër","069-643-1691","pranvera.kastrati@live.com","06/02/23","ASNJË"
"REK-0024","PRANVERA Halili","Nëntor 5, -2382","F","38110575540","Lagja. 28 Nëntori no.23 apt.35, Lushnjë","00355683614766","pranvera.halili@gmail.com","26.11.2023","ASNJË"
"REK-0025","Lulzim BEQIRI","-1716-05-27","Femër","710527-38238","Lagja. Reshit Çollaku no.109 apt.33, Peshkopi","068.504.9329","lulzim.beqiri@edu.al","28/11/2022","ASNJË"
"REK-0026","Qemal Hoxha","15.12.0460","M","60121511455","L. 1, Rr. Skënderbeu, Nd. 5, Kamëz","069 9599762","qemal.hoxha@abcom.al","07.02.2023","ASNJË"
"REK-0027","KLEVIS Berisha","-3335-06-24","M","33062416534","RRUGA ALI DEMI 36, 8301 Peshkopi","066.463.5779","kberisha@hotmail.com","25.07.2021","ASNJË"
"REK-0028","dritan KELMENDI","05-20--3191","Femër","19052044060","Bulevardi 28 Nëntori, 89/5, Pogradec","+355 66 149 7337","kelmendi.dritan@gmail.com","08-01-2023","ASNJË"
"REK-0029","Edlira Berisha","12.10.-3785","M","781012-86572","Rruga. Nënë Tereza no.143 apt.13, Lushnjë","067 7711590","edlira_berisha@hotmail.com","06.11.2024","ASNJË"
"REK-0030","irena BEKTASHI","28 Shkurt 0155","FEMËR","55022876269","Rruga. Ibrahim Rugova no.30 apt.26, Tiranë","069-899-9331","ibektashi@outlook.com","2023-09-10","ASNJË"
"REK-0031","Ervin HOXHA","14/01/-2669","Male","660114-18841","Lagja. Ibrahim Rugova no.99 apt.13, Tiranë","(067) 978 8880","hoxha.ervin@gmail.com","19/09/2022","ASNJË"
